brand,collection,price,currency,country,life_span_date,price_before,price_difference,price_changed
Chopard,HAPPY SPORT,13500,CHF,Switzerland,2021-06-30,13500.0,0,0.0
Chopard,HAPPY SPORT,20100,CHF,Switzerland,2021-06-30,20100.0,0,0.0
Chopard,HAPPY SPORT,7920,CHF,Switzerland,2021-06-30,7920.0,0,0.0
Chopard,HAPPY SPORT,9210,CHF,Switzerland,2021-06-30,9210.0,0,0.0
Chopard,HAPPY SPORT,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,HAPPY SPORT,18800,CHF,Switzerland,2021-06-30,18800.0,0,0.0
Chopard,HAPPY SPORT,7920,CHF,Switzerland,2021-06-30,7920.0,0,0.0
Chopard,HAPPY SPORT,9210,CHF,Switzerland,2021-06-30,9210.0,0,0.0
Chopard,HAPPY SPORT,17600,CHF,Switzerland,2021-06-30,17600.0,0,0.0
Chopard,"HAPPY SPORT SUN, MOON AND STARS",6990,CHF,Switzerland,2021-06-30,6990.0,0,0.0
Chopard,HAPPY SNOWFLAKES,18400,CHF,Switzerland,2021-06-30,18400.0,0,0.0
Chopard,HAPPY HEARTS,6440,CHF,Switzerland,2021-06-30,6440.0,0,0.0
Chopard,HAPPY SPORT,5300,CHF,Switzerland,2021-06-30,5300.0,0,0.0
Chopard,HAPPY SPORT,6590,CHF,Switzerland,2021-06-30,6590.0,0,0.0
Chopard,HAPPY SPORT,16200,CHF,Switzerland,2021-06-30,16200.0,0,0.0
Chopard,HAPPY SPORT,9770,CHF,Switzerland,2021-06-30,9770.0,0,0.0
Chopard,HAPPY SPORT,16900,CHF,Switzerland,2021-06-30,16900.0,0,0.0
Chopard,HAPPY SPORT,19400,CHF,Switzerland,2021-06-30,19400.0,0,0.0
Chopard,HAPPY SPORT,26400,CHF,Switzerland,2021-06-30,26400.0,0,0.0
Chopard,HAPPY SPORT,9990,CHF,Switzerland,2021-06-30,9990.0,0,0.0
Chopard,HAPPY SPORT,17100,CHF,Switzerland,2021-06-30,17100.0,0,0.0
Chopard,HAPPY SPORT,19700,CHF,Switzerland,2021-06-30,19700.0,0,0.0
Chopard,HAPPY HEARTS,8450,CHF,Switzerland,2021-06-30,8450.0,0,0.0
Chopard,HAPPY PALM,18300,CHF,Switzerland,2021-06-30,18300.0,0,0.0
Chopard,HAPPY SPORT,7100,CHF,Switzerland,2021-06-30,7100.0,0,0.0
Chopard,HAPPY SPORT,12400,CHF,Switzerland,2021-06-30,12400.0,0,0.0
Chopard,HAPPY SPORT,7100,CHF,Switzerland,2021-06-30,7100.0,0,0.0
Chopard,HAPPY SPORT,12400,CHF,Switzerland,2021-06-30,12400.0,0,0.0
Chopard,HAPPY SPORT,16700,CHF,Switzerland,2021-06-30,16700.0,0,0.0
Chopard,HAPPY SPORT,22000,CHF,Switzerland,2021-06-30,22000.0,0,0.0
Chopard,HAPPY SPORT,14900,CHF,Switzerland,2021-06-30,14900.0,0,0.0
Chopard,HAPPY SPORT,30300,CHF,Switzerland,2021-06-30,30300.0,0,0.0
Chopard,HAPPY SPORT,24400,CHF,Switzerland,2021-06-30,24400.0,0,0.0
Chopard,HAPPY SPORT,39800,CHF,Switzerland,2021-06-30,39800.0,0,0.0
Chopard,HAPPY SPORT,15200,CHF,Switzerland,2021-06-30,15200.0,0,0.0
Chopard,HAPPY SPORT,30500,CHF,Switzerland,2021-06-30,30500.0,0,0.0
Chopard,HAPPY SPORT,24600,CHF,Switzerland,2021-06-30,24600.0,0,0.0
Chopard,HAPPY SPORT,39900,CHF,Switzerland,2021-06-30,39900.0,0,0.0
Chopard,HAPPY SPORT,14900,CHF,Switzerland,2021-06-30,14900.0,0,0.0
Chopard,HAPPY SPORT,24400,CHF,Switzerland,2021-06-30,24400.0,0,0.0
Chopard,HAPPY SPORT,7960,CHF,Switzerland,2021-06-30,7960.0,0,0.0
Chopard,HAPPY SPORT,9290,CHF,Switzerland,2021-06-30,9290.0,0,0.0
Chopard,HAPPY SPORT,13700,CHF,Switzerland,2021-06-30,13700.0,0,0.0
Chopard,HAPPY SPORT,15000,CHF,Switzerland,2021-06-30,15000.0,0,0.0
Chopard,HAPPY SPORT,9290,CHF,Switzerland,2021-06-30,9290.0,0,0.0
Chopard,HAPPY SPORT,14500,CHF,Switzerland,2021-06-30,14500.0,0,0.0
Chopard,HAPPY SPORT,15000,CHF,Switzerland,2021-06-30,15000.0,0,0.0
Chopard,HAPPY SPORT,19900,CHF,Switzerland,2021-06-30,19900.0,0,0.0
Chopard,HAPPY SPORT,14000,CHF,Switzerland,2021-06-30,14000.0,0,0.0
Chopard,HAPPY SPORT,27300,CHF,Switzerland,2021-06-30,27300.0,0,0.0
Chopard,HAPPY SPORT,22500,CHF,Switzerland,2021-06-30,22500.0,0,0.0
Chopard,HAPPY SPORT,33100,CHF,Switzerland,2021-06-30,33100.0,0,0.0
Chopard,HAPPY SPORT,19400,CHF,Switzerland,2021-06-30,19400.0,0,0.0
Chopard,HAPPY SPORT,19000,CHF,Switzerland,2021-06-30,19000.0,0,0.0
Chopard,HAPPY SPORT,23000,CHF,Switzerland,2021-06-30,23000.0,0,0.0
Chopard,HAPPY SPORT,49800,CHF,Switzerland,2021-06-30,49800.0,0,0.0
Chopard,HAPPY OCEAN,8370,CHF,Switzerland,2021-06-30,8370.0,0,0.0
Chopard,HAPPY OCEAN,8370,CHF,Switzerland,2021-06-30,8370.0,0,0.0
Chopard,HAPPY MOON,44600,CHF,Switzerland,2021-06-30,44600.0,0,0.0
Chopard,HAPPY SPORT CHRONO,74800,CHF,Switzerland,2021-06-30,74800.0,0,0.0
Chopard,HAPPY SPORT,44800,CHF,Switzerland,2021-06-30,44800.0,0,0.0
Chopard,HAPPY SPORT,44800,CHF,Switzerland,2021-06-30,44800.0,0,0.0
Chopard,HAPPY SPORT,53800,CHF,Switzerland,2021-06-30,53800.0,0,0.0
Chopard,HAPPY SPORT,62800,CHF,Switzerland,2021-06-30,62800.0,0,0.0
Chopard,HAPPY SPORT,69200,CHF,Switzerland,2021-06-30,69200.0,0,0.0
Chopard,HAPPY SPORT,69200,CHF,Switzerland,2021-06-30,69200.0,0,0.0
Chopard,HAPPY SPORT,64900,CHF,Switzerland,2021-06-30,64900.0,0,0.0
Chopard,HAPPY SPORT JOAILLERIE,88300,CHF,Switzerland,2021-06-30,88300.0,0,0.0
Chopard,HAPPY SPORT JOAILLERIE,88300,CHF,Switzerland,2021-06-30,88300.0,0,0.0
Chopard,HAPPY SNOWFLAKES,74900,CHF,Switzerland,2021-06-30,74900.0,0,0.0
Chopard,HAPPY PALM,87600,CHF,Switzerland,2021-06-30,87600.0,0,0.0
Chopard,HAPPY DIAMONDS JOAILLERIE,45500,CHF,Switzerland,2021-06-30,45500.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,8560,CHF,Switzerland,2021-06-30,8560.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,8560,CHF,Switzerland,2021-06-30,8560.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,8560,CHF,Switzerland,2021-06-30,8560.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,14900,CHF,Switzerland,2021-06-30,14900.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,14700,CHF,Switzerland,2021-06-30,14700.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,14900,CHF,Switzerland,2021-06-30,14900.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,15500,CHF,Switzerland,2021-06-30,15500.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,11800,CHF,Switzerland,2021-06-30,11800.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,11800,CHF,Switzerland,2021-06-30,11800.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,18300,CHF,Switzerland,2021-06-30,18300.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,18300,CHF,Switzerland,2021-06-30,18300.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,22200,CHF,Switzerland,2021-06-30,22200.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,28500,CHF,Switzerland,2021-06-30,28500.0,0,0.0
Chopard,HAPPY DIAMONDS ICONS,10200,CHF,Switzerland,2021-06-30,10200.0,0,0.0
