brand,url,image_url,collection,reference_code,price,currency,country,life_span_date,category,scrapping_date,price_eur
Chopard,https://www.chopard.com/fr-ch/watch/298630-3001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/298630-3001_01.png",ALPINE EAGLE,298630-3001,25200.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,27450.98
Chopard,https://www.chopard.com/fr-ch/watch/295370-5001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295370-5001_01.png",ALPINE EAGLE,295370-5001,35900.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,39106.75
Chopard,https://www.chopard.com/fr-ch/watch/295387-9001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295387-9001_01.png",ALPINE EAGLE,295387-9001,37400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,40740.74
Chopard,https://www.chopard.com/fr-ch/watch/295384-5001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295384-5001_01.png",ALPINE EAGLE,295384-5001,39300.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,42810.46
Chopard,https://www.chopard.com/fr-ch/watch/295384-5002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295384-5002_01.png",ALPINE EAGLE,295384-5002,48400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,52723.31
Chopard,https://www.chopard.com/fr-ch/watch/295363-5001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-5001_01.png",ALPINE EAGLE,295363-5001,52000.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,56644.88
Chopard,https://www.chopard.com/fr-ch/watch/295363-5007.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-5007_01.png",ALPINE EAGLE,295363-5007,53400.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,58169.93
Chopard,https://www.chopard.com/fr-ch/watch/295370-5003.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295370-5003_01.png",ALPINE EAGLE,295370-5003,54100.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,58932.46
Chopard,https://www.chopard.com/fr-ch/watch/295363-0001.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295363-0001_01.png",ALPINE EAGLE,295363-0001,56000.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,61002.18
Chopard,https://www.chopard.com/fr-ch/watch/295393-5002.html,"https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,g_center/ProductsAssets/Web/295393-5002_01.png",ALPINE EAGLE,295393-5002,69800.0,CHF,Switzerland,2025-01-28 00:00:00,Watches,2025-01-06,76034.86
