Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
brand;url;image_url;collection;reference_code;price;currency;country;life_span_date;category;scrapping_date,,,,,,,,
Chopard;https://www.chopard.com/fr-ch/watch/298601-3004.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298601-3004_01.png;""ALPINE EAGLE"";298601-3004;15500;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298617-6002.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298617-6002_01.png;""ALPINE EAGLE"";298617-6002;18500;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298609-3004.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298609-3004_01.png;""ALPINE EAGLE"";298609-3004;19100;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298609-3003.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298609-3003_01.png;""ALPINE EAGLE"";298609-3003;19100;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298609-3001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298609-3001_01.png;""ALPINE EAGLE"";298609-3001;20500;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298600-3020.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298600-3020_01.png;""ALPINE EAGLE"";298600-3020;20900;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298600-6001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298600-6001_01.png;""ALPINE EAGLE"";298600-6001;22000;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298623-3001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298623-3001_01.png;""ALPINE EAGLE"";298623-3001;23100;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298609-3008.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298609-3008_01.png;""ALPINE EAGLE"";298609-3008;23700;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/298630-3001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/298630-3001_01.png;""ALPINE EAGLE"";298630-3001;25200;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295370-5001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295370-5001_01.png;""ALPINE EAGLE"";295370-5001;35900;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295387-9001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295387-9001_01.png;""ALPINE EAGLE"";295387-9001;37400;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295384-5001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295384-5001_01.png;""ALPINE EAGLE"";295384-5001;39300;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295384-5002.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295384-5002_01.png;""ALPINE EAGLE"";295384-5002;48400;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295363-5001.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295363-5001_01.png;""ALPINE EAGLE"";295363-5001;52000;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295363-5007.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295363-5007_01.png;""ALPINE EAGLE"";295363-5007;53400;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
Chopard;https://www.chopard.com/fr-ch/watch/295370-5003.html;https://objects-prod.cdn.chopard.com/q_auto,f_auto,dpr_auto/e_trim/c_lpad,w_iw,h_ih/c_lpad,ar_1:1,w_800,"g_center/ProductsAssets/Web/295370-5003_01.png;""ALPINE EAGLE"";295370-5003;54100;CHF;Switzerland;""2025-01-28 00:00:00"";Watches;2025-01-06",
